Date,ID_Commodity,Anomaly_Price_Global,Index_Cost_Shipping,Premium_Insurance_Risk_War,Outlook_Production_Local,USD_Spread_Price_Market,Index_Stress_Chain_Supply,News_Sentiment_Score,Customs_Fees_Estimate
2023-07-31,oil,225,1.23,1.13,0.67,21,0.49,0.01,35
2023-07-31,rice,438,1.77,0.77,0.61,27,0.9,-0.17,29
2023-07-31,corn,671,1.66,0.75,0.52,19,0.89,-0.17,25
2023-07-31,soybean,391,1.4,1.06,0.76,14,0.6,-0.32,44
2023-07-31,barley,628,1.27,1.19,0.57,32,0.4,0.01,23
2023-07-31,milk_powder,795,1.25,0.82,0.78,10,0.78,-0.07,21
2023-07-31,tea,334,1.63,0.81,0.62,30,0.49,0.17,20
2023-07-31,coffee,494,1.43,1.23,0.84,14,0.83,-0.17,32
2023-07-31,salt,724,1.44,0.69,0.48,16,0.38,0.08,24
2023-07-31,lentils,739,1.5,0.62,0.55,26,0.89,-0.33,41
2023-08-31,wheat,688,1.75,0.91,0.82,34,0.4,-0.13,44
2023-08-31,sugar,358,1.18,0.64,0.7,11,0.31,-0.05,28
2023-08-31,oil,727,1.17,0.89,0.63,10,0.49,-0.2,39
2023-08-31,rice,892,1.47,1.06,0.6,13,0.84,0.04,43
2023-08-31,corn,675,1.5,1.27,0.69,19,0.58,-0.22,45
2023-08-31,soybean,766,1.49,0.89,0.76,28,0.59,-0.38,43
2023-08-31,barley,231,1.62,1.03,0.44,26,0.79,0.08,29
2023-08-31,milk_powder,565,1.35,0.9,0.83,18,0.86,-0.5,24
2023-08-31,tea,377,1.22,0.92,0.45,22,0.47,-0.12,20
2023-08-31,coffee,472,1.13,1.0,0.81,14,0.36,-0.1,37
2023-08-31,salt,406,1.3,1.11,0.51,24,0.55,-0.47,43
2023-08-31,lentils,726,1.01,1.0,0.55,19,0.6,0.06,31
2023-09-30,wheat,634,1.28,0.92,0.72,25,0.69,0.14,23
2023-09-30,sugar,818,1.42,0.85,0.85,34,0.86,-0.36,20
2023-09-30,oil,583,1.38,1.19,0.73,19,0.66,-0.23,38
2023-09-30,rice,689,1.67,1.25,0.44,30,0.48,0.07,45
2023-09-30,corn,763,1.05,0.94,0.72,31,0.63,-0.47,28
2023-09-30,soybean,698,1.28,1.01,0.5,14,0.74,-0.14,31
2023-09-30,barley,878,1.24,0.83,0.83,20,0.64,0.18,20
2023-09-30,milk_powder,402,1.03,0.72,0.68,33,0.77,-0.48,27
2023-09-30,tea,549,1.1,1.11,0.58,16,0.38,-0.43,23
2023-09-30,coffee,238,1.56,0.89,0.48,24,0.62,-0.43,43
2023-09-30,salt,326,1.61,0.91,0.66,35,0.64,-0.02,45
2023-09-30,lentils,328,1.58,0.92,0.69,22,0.73,-0.08,23
2023-10-31,wheat,654,1.38,0.65,0.77,30,0.8,-0.45,25
2023-10-31,sugar,270,1.39,0.86,0.86,28,0.88,-0.35,30
2023-10-31,oil,212,1.43,1.23,0.44,14,0.34,-0.35,23
2023-10-31,rice,380,1.03,1.08,0.57,18,0.31,0.02,31
2023-10-31,corn,693,1.42,0.63,0.67,24,0.81,0.12,45
2023-10-31,soybean,241,1.3,1.28,0.6,34,0.88,-0.08,38
2023-10-31,barley,689,1.01,0.84,0.57,31,0.59,0.11,22
2023-10-31,milk_powder,241,1.56,0.81,0.83,31,0.33,-0.07,24
2023-10-31,tea,777,1.15,0.96,0.64,21,0.67,-0.41,33
2023-10-31,coffee,262,1.66,1.28,0.66,13,0.87,0.18,34
2023-10-31,salt,566,1.33,0.91,0.41,23,0.41,0.13,31
2023-10-31,lentils,584,1.0,0.97,0.64,23,0.64,-0.18,33
2023-11-30,wheat,491,1.34,0.75,0.85,20,0.61,-0.43,24
2023-11-30,sugar,253,1.56,0.9,0.71,17,0.85,-0.34,44
2023-11-30,oil,368,1.79,0.86,0.68,13,0.57,-0.42,26
2023-11-30,rice,220,1.38,0.75,0.87,33,0.69,-0.05,23
2023-11-30,corn,361,1.64,1.22,0.67,27,0.31,-0.37,31
2023-11-30,soybean,488,1.49,1.18,0.83,20,0.79,-0.35,25
2023-11-30,barley,868,1.47,0.95,0.52,33,0.47,-0.21,37
2023-11-30,milk_powder,689,1.72,0.67,0.51,11,0.42,0.12,35
2023-11-30,tea,410,1.54,0.61,0.58,17,0.7,-0.24,34
2023-11-30,coffee,454,1.11,0.91,0.43,10,0.83,-0.08,45
2023-11-30,salt,795,1.73,1.19,0.88,19,0.3,-0.44,28
2023-11-30,lentils,619,1.09,0.8,0.74,29,0.46,-0.25,36
2023-12-31,wheat,359,1.8,1.06,0.88,15,0.48,-0.26,23
2023-12-31,sugar,795,1.33,0.88,0.42,19,0.66,0.04,28
2023-12-31,oil,213,1.24,0.96,0.57,14,0.77,-0.09,28
2023-12-31,rice,204,1.26,1.0,0.7,16,0.61,-0.1,20
2023-12-31,corn,752,1.61,0.89,0.59,10,0.79,-0.08,32
2023-12-31,soybean,230,1.6,1.03,0.55,31,0.47,0.02,33
2023-12-31,barley,241,1.27,1.08,0.5,31,0.58,0.0,41
2023-12-31,milk_powder,546,1.33,1.23,0.49,31,0.88,-0.29,36
2023-12-31,tea,380,1.01,0.61,0.85,12,0.73,-0.09,21
2023-12-31,coffee,805,1.54,1.08,0.77,26,0.36,0.07,36
2023-12-31,salt,508,1.31,0.72,0.51,27,0.43,-0.16,29
2023-12-31,lentils,769,1.19,0.89,0.74,13,0.32,-0.23,41
2024-01-31,wheat,541,1.38,1.27,0.69,28,0.77,0.18,45
2024-01-31,sugar,843,1.56,1.19,0.62,26,0.77,0.17,23
2024-01-31,oil,345,1.39,0.96,0.64,28,0.43,-0.09,23
2024-01-31,rice,373,1.12,0.89,0.67,25,0.84,-0.35,20
2024-01-31,corn,729,1.74,0.91,0.79,23,0.81,-0.05,42
2024-01-31,soybean,618,1.32,1.29,0.88,24,0.89,-0.07,20
2024-01-31,barley,543,1.28,0.97,0.46,23,0.33,-0.15,22
2024-01-31,milk_powder,779,1.1,0.98,0.49,15,0.7,-0.29,45
2024-01-31,tea,569,1.36,1.23,0.6,13,0.82,-0.32,27
2024-01-31,coffee,468,1.21,0.86,0.67,11,0.66,-0.05,24
2024-01-31,salt,766,1.37,0.89,0.45,10,0.7,-0.07,25
2024-01-31,lentils,695,1.3,1.0,0.42,25,0.31,-0.04,39
2024-02-29,wheat,636,1.43,0.87,0.84,33,0.82,-0.35,42
2024-02-29,sugar,858,1.65,0.9,0.84,22,0.39,-0.08,24
2024-02-29,oil,216,1.22,0.69,0.83,16,0.83,-0.1,36
2024-02-29,rice,685,1.51,0.86,0.44,21,0.88,-0.07,45
2024-02-29,corn,340,1.08,1.24,0.57,10,0.69,-0.44,32
2024-02-29,soybean,679,1.34,1.25,0.46,28,0.38,0.06,36
2024-02-29,barley,329,1.01,1.06,0.84,24,0.68,-0.23,25
2024-02-29,milk_powder,778,1.15,0.68,0.47,23,0.4,-0.11,33
2024-02-29,tea,892,1.01,0.72,0.84,25,0.57,-0.44,21
2024-02-29,coffee,485,1.79,1.23,0.72,14,0.82,-0.39,35
2024-02-29,salt,546,1.27,0.84,0.4,27,0.83,-0.21,35
2024-02-29,lentils,898,1.01,0.93,0.59,26,0.45,-0.2,20
2024-03-31,wheat,455,1.16,1.23,0.8,16,0.51,0.1,28
2024-03-31,sugar,441,1.73,0.96,0.75,19,0.84,-0.34,30
2024-03-31,oil,227,1.4,0.8,0.44,17,0.78,0.09,21
2024-03-31,rice,372,1.27,0.96,0.5,23,0.74,-0.04,35
2024-03-31,corn,311,1.5,1.11,0.65,26,0.59,0.1,21
2024-03-31,soybean,633,1.78,0.82,0.68,18,0.6,0.19,29
2024-03-31,barley,685,1.48,1.03,0.67,23,0.8,-0.15,43
2024-03-31,milk_powder,826,1.04,0.78,0.71,21,0.73,-0.37,26
2024-03-31,tea,481,1.07,1.02,0.67,13,0.81,-0.4,33
2024-03-31,coffee,612,1.22,0.83,0.48,26,0.51,0.01,40
2024-03-31,salt,309,1.65,0.83,0.8,18,0.39,-0.22,34
2024-03-31,lentils,832,1.12,0.9,0.55,27,0.43,0.06,33
2024-04-30,wheat,800,1.13,1.09,0.88,13,0.66,0.09,25
2024-04-30,sugar,513,1.46,1.21,0.59,18,0.5,-0.37,40
2024-04-30,oil,318,1.58,0.97,0.48,27,0.49,0.05,32
2024-04-30,rice,279,1.49,1.17,0.54,30,0.53,-0.28,23
2024-04-30,corn,416,1.79,0.91,0.71,35,0.79,-0.1,22
2024-04-30,soybean,654,1.17,1.14,0.56,17,0.43,-0.19,35
2024-04-30,barley,248,1.33,0.77,0.43,32,0.76,0.07,28
2024-04-30,milk_powder,318,1.41,0.97,0.61,29,0.59,-0.23,24
2024-04-30,tea,562,1.76,0.84,0.6,22,0.45,0.15,36
2024-04-30,coffee,736,1.79,0.76,0.53,29,0.63,-0.05,40
2024-04-30,salt,663,1.36,1.21,0.76,19,0.74,-0.48,37
2024-04-30,lentils,616,1.22,0.6,0.72,25,0.76,-0.05,40
2024-05-31,wheat,731,1.55,1.17,0.87,10,0.38,-0.23,21
2024-05-31,sugar,729,1.58,1.16,0.63,35,0.85,-0.17,20
2024-05-31,oil,542,1.53,1.24,0.56,15,0.57,-0.01,40
2024-05-31,rice,816,1.35,1.1,0.75,20,0.71,-0.33,42
2024-05-31,corn,662,1.37,0.64,0.52,33,0.45,-0.13,30
2024-05-31,soybean,754,1.22,0.99,0.51,14,0.78,-0.34,23
2024-05-31,barley,814,1.04,1.05,0.85,23,0.36,-0.44,40
2024-05-31,milk_powder,530,1.2,0.96,0.6,18,0.75,0.08,25
2024-05-31,tea,271,1.04,1.16,0.81,34,0.74,0.04,28
2024-05-31,coffee,464,1.04,0.87,0.48,21,0.52,-0.14,22
2024-05-31,salt,465,1.44,1.15,0.8,10,0.58,-0.33,35
2024-05-31,lentils,766,1.28,1.2,0.44,15,0.31,-0.39,36
2024-06-30,wheat,434,1.34,1.14,0.85,31,0.65,0.0,38
2024-06-30,sugar,732,1.08,1.01,0.65,29,0.78,0.05,44
2024-06-30,oil,874,1.01,0.61,0.53,33,0.66,0.15,44
2024-06-30,rice,620,1.61,1.02,0.55,11,0.77,-0.23,38
2024-06-30,corn,361,1.08,1.11,0.83,21,0.4,-0.18,36
2024-06-30,soybean,259,1.26,0.88,0.88,26,0.33,-0.02,31
2024-06-30,barley,832,1.68,0.7,0.73,30,0.84,-0.48,44
2024-06-30,milk_powder,694,1.53,0.75,0.64,12,0.53,0.03,37
2024-06-30,tea,343,1.24,0.62,0.63,18,0.79,-0.29,29
2024-06-30,coffee,630,1.16,1.05,0.48,15,0.72,-0.4,25
2024-06-30,salt,518,1.49,0.93,0.86,27,0.35,-0.25,37
2024-06-30,lentils,645,1.03,0.96,0.43,15,0.4,-0.4,26
2024-07-31,wheat,365,1.65,1.22,0.82,13,0.39,-0.47,22
2024-07-31,sugar,434,1.65,1.27,0.7,33,0.47,-0.5,45
2024-07-31,oil,596,1.69,0.73,0.41,31,0.3,0.07,27
2024-07-31,rice,769,1.31,0.77,0.41,27,0.39,-0.28,31
2024-07-31,corn,478,1.24,0.74,0.46,28,0.51,0.08,37
2024-07-31,soybean,818,1.15,1.21,0.83,11,0.57,0.08,43
2024-07-31,barley,496,1.78,0.92,0.75,17,0.34,-0.37,28
2024-07-31,milk_powder,427,1.14,1.04,0.77,24,0.58,-0.09,37
2024-07-31,tea,414,1.49,0.96,0.76,24,0.58,-0.34,25
2024-07-31,coffee,717,1.24,1.17,0.82,22,0.58,0.19,43
2024-07-31,salt,312,1.14,0.62,0.73,15,0.47,0.01,43
2024-07-31,lentils,803,1.54,0.73,0.45,27,0.33,0.11,32
2024-08-31,wheat,864,1.1,1.12,0.87,10,0.36,-0.32,26
2024-08-31,sugar,780,1.06,0.98,0.88,20,0.53,0.09,23
2024-08-31,oil,201,1.19,1.07,0.8,29,0.62,-0.33,40
2024-08-31,rice,362,1.64,1.21,0.42,27,0.88,0.02,20
2024-08-31,corn,402,1.03,0.96,0.87,10,0.41,0.19,20
2024-08-31,soybean,692,1.74,1.29,0.9,34,0.32,0.16,31
2024-08-31,barley,875,1.68,1.19,0.64,24,0.75,-0.32,35
2024-08-31,milk_powder,334,1.39,0.99,0.81,20,0.57,-0.24,25
2024-08-31,tea,686,1.7,0.88,0.7,23,0.73,-0.49,20
2024-08-31,coffee,718,1.27,0.95,0.85,22,0.33,-0.32,36
2024-08-31,salt,825,1.53,0.97,0.75,31,0.48,-0.07,33
2024-08-31,lentils,697,1.22,1.22,0.76,15,0.49,0.12,42
2024-09-30,wheat,743,1.53,1.21,0.65,16,0.79,-0.1,25
2024-09-30,sugar,248,1.36,0.85,0.44,17,0.79,-0.12,21
2024-09-30,oil,884,1.31,0.75,0.55,21,0.53,0.13,43
2024-09-30,rice,356,1.06,0.67,0.84,31,0.75,-0.13,26
2024-09-30,corn,570,1.19,1.22,0.76,10,0.56,0.12,30
2024-09-30,soybean,678,1.54,0.99,0.87,14,0.76,-0.11,41
2024-09-30,barley,371,1.67,1.11,0.82,13,0.77,-0.42,45
2024-09-30,milk_powder,413,1.11,1.1,0.63,26,0.84,-0.24,30
2024-09-30,tea,368,1.14,0.63,0.5,30,0.62,0.18,37
2024-09-30,coffee,558,1.57,0.75,0.68,26,0.88,-0.34,23
2024-09-30,salt,608,1.59,0.88,0.48,25,0.41,-0.3,30
2024-09-30,lentils,694,1.68,1.18,0.41,21,0.31,-0.47,39
2024-10-31,wheat,673,1.78,0.85,0.73,29,0.33,0.15,28
2024-10-31,sugar,881,1.76,1.09,0.89,16,0.56,-0.22,45
2024-10-31,oil,334,1.75,0.98,0.75,11,0.89,-0.14,25
2024-10-31,rice,591,1.25,0.82,0.63,26,0.81,0.02,23
2024-10-31,corn,640,1.61,0.96,0.52,15,0.7,0.12,23
2024-10-31,soybean,607,1.01,1.28,0.42,19,0.41,-0.0,23
2024-10-31,barley,558,1.61,0.7,0.81,20,0.83,-0.36,29
2024-10-31,milk_powder,430,1.14,0.92,0.82,17,0.52,-0.12,43
2024-10-31,tea,767,1.25,0.89,0.62,25,0.4,-0.32,37
2024-10-31,coffee,260,1.35,0.63,0.62,28,0.35,0.05,40
2024-10-31,salt,729,1.51,1.23,0.69,16,0.42,-0.35,31
2024-10-31,lentils,766,1.03,0.99,0.83,26,0.73,0.18,31
2024-11-30,wheat,251,1.34,1.19,0.41,12,0.72,0.07,23
2024-11-30,sugar,386,1.64,0.77,0.7,16,0.57,-0.02,28
2024-11-30,oil,706,1.14,1.04,0.46,20,0.81,-0.13,22
2024-11-30,rice,722,1.03,0.64,0.85,28,0.74,-0.36,35
2024-11-30,corn,621,1.26,1.01,0.64,30,0.38,0.06,23
2024-11-30,soybean,556,1.66,1.28,0.5,25,0.37,-0.08,22
2024-11-30,barley,466,1.12,1.08,0.82,30,0.72,-0.37,40
2024-11-30,milk_powder,394,1.68,0.92,0.88,26,0.55,-0.27,28
2024-11-30,tea,714,1.4,1.22,0.62,22,0.63,0.11,44
2024-11-30,coffee,271,1.05,0.77,0.68,28,0.59,-0.37,32
2024-11-30,salt,240,1.19,1.23,0.75,33,0.56,0.01,39
2024-11-30,lentils,807,1.33,0.95,0.7,22,0.6,-0.1,44
2024-12-31,wheat,353,1.1,0.69,0.86,19,0.46,-0.06,29
2024-12-31,sugar,392,1.06,0.6,0.89,21,0.77,0.02,30
2024-12-31,oil,735,1.13,0.83,0.45,10,0.66,-0.34,23
2024-12-31,rice,636,1.71,1.18,0.59,27,0.87,-0.21,45
2024-12-31,corn,434,1.43,1.15,0.88,34,0.54,0.18,20
2024-12-31,soybean,826,1.18,1.05,0.84,25,0.39,-0.37,39
2024-12-31,barley,513,1.44,0.98,0.46,35,0.71,-0.02,37
2024-12-31,milk_powder,870,1.28,0.98,0.58,22,0.39,-0.04,22
2024-12-31,tea,349,1.79,0.75,0.42,32,0.58,-0.49,29
2024-12-31,coffee,411,1.73,0.68,0.85,24,0.56,0.14,34
2024-12-31,salt,309,1.11,1.06,0.57,17,0.75,-0.05,40
2024-12-31,lentils,421,1.46,1.18,0.87,32,0.38,-0.05,38
